BEGIN_GUI_DESCR

GLOBAL_PICTURE	i_beam_tab.gif

SHOW_PARAM	DOUBLE	D
SHOW_PARAM	DOUBLE	BF
SHOW_PARAM	DOUBLE	TF
SHOW_PARAM	DOUBLE	TW

END_GUI_DESCR

BEGIN_TAB_DESCR

BEGIN_TABLE	TYPE	TYPE
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES	SIZE_W
M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES	SIZE_M
HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES	SIZE_HP
AISC V14 W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES_V14	SIZE_W_V14
AISC V14 M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES_V14	SIZE_M_V14
AISC V14 HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES_V14	SIZE_HP_V14
END_TABLE



BEGIN_SUBTABLE	SIZE_W	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
W 14 x 38	W 14 x 38	14.125	6.75	0.5	0.3125	0.7
W 14 x 43	W 14 x 43	13.625	8	0.5	0.3125	0.7
W 14 x 48	W 14 x 48	13.75	8	0.625	0.3125	0.7
W 14 x 53	W 14 x 53	13.875	8	0.6875	0.375	0.7
W 14 x 61	W 14 x 61	13.875	10	0.625	0.375	0.7
W 14 x 68	W 14 x 68	14	10	0.75	0.4375	0.7
W 14 x 74	W 14 x 74	14.125	10.125	0.8125	0.4375	0.7
W 14 x 82	W 14 x 82	14.25	10.125	0.875	0.5	0.7
W 14 x 90	W 14 x 90	14	14.5	0.6875	0.4375	0.6
W 14 x 99	W 14 x 99	14.125	14.625	0.75	0.5	0.6
W 14 x 109	W 14 x 109	14.375	14.625	0.875	0.5	0.6
W 14 x 120	W 14 x 120	14.5	14.625	0.9375	0.5625	0.6
W 14 x 132	W 14 x 132	14.625	14.75	1	0.625	0.6
W 14 x 145	W 14 x 145	14.75	15.5	1.0625	0.6875	0.6
W 14 x 159	W 14 x 159	15	15.625	1.1875	0.75	0.6
W 14 x 176	W 14 x 176	15.25	15.625	1.3125	0.8125	0.6
W 14 x 193	W 14 x 193	15.5	15.75	1.4375	0.875	0.6
W 14 x 211	W 14 x 211	15.75	15.75	1.5625	1	0.6
W 14 x 233	W 14 x 233	16	15.875	1.75	1.0625	0.6
W 14 x 257	W 14 x 257	16.375	16	1.875	1.1875	0.6
W 14 x 283	W 14 x 283	16.75	16.125	2.0625	1.3125	0.6
W 14 x 311	W 14 x 311	17.125	16.25	2.25	1.4375	0.6
W 14 x 342	W 14 x 342	17.5	16.375	2.5	1.5625	0.6
W 14 x 370	W 14 x 370	17.875	16.5	2.6875	1.625	0.6
W 14 x 398	W 14 x 398	18.25	16.625	2.875	1.75	0.6
W 14 x 426	W 14 x 426	18.625	16.75	3.0625	1.875	0.6
W 14 x 455	W 14 x 455	19	16.875	3.1875	2	0.6
W 14 x 500	W 14 x 500	19.625	17	3.5	2.1875	0.6
W 14 x 550	W 14 x 550	20.25	17.25	3.8125	2.375	0.6
W 14 x 605	W 14 x 605	20.875	17.375	4.1875	2.625	0.6
W 14 x 665	W 14 x 665	21.625	17.625	4.5	2.8125	0.6
W 14 x 730	W 14 x 730	22.375	17.875	4.9375	3.0625	0.6
W 16 x 26	W 16 x 26	15.75	5.5	0.375	0.25	0.6
W 16 x 31	W 16 x 31	15.875	5.5	0.4375	0.25	0.6
W 16 x 36	W 16 x 36	15.875	7	0.4375	0.3125	0.6
W 16 x 40	W 16 x 40	16	7	0.5	0.3125	0.6
W 16 x 45	W 16 x 45	16.125	7	0.5625	0.375	0.6
W 16 x 50	W 16 x 50	16.25	7.125	0.625	0.375	0.6
W 16 x 57	W 16 x 57	16.375	7.125	0.6875	0.4375	0.6
W 16 x 67	W 16 x 67	16.375	10.25	0.6875	0.375	0.6
W 16 x 77	W 16 x 77	16.5	10.25	0.75	0.4375	0.6
W 16 x 89	W 16 x 89	16.75	10.375	0.875	0.5	0.6
W 16 x 100	W 16 x 100	17	10.375	1	0.5625	0.6
W 18 x 35	W 18 x 35	17.75	6	0.4375	0.3125	0.6
W 18 x 40	W 18 x 40	17.875	6	0.5	0.3125	0.6
W 18 x 46	W 18 x 46	18	6	0.625	0.375	0.6
W 18 x 50	W 18 x 50	18	7.5	0.5625	0.375	0.6
W 18 x 55	W 18 x 55	18.125	7.5	0.625	0.375	0.6
W 18 x 60	W 18 x 60	18.25	7.5	0.6875	0.4375	0.6
W 18 x 65	W 18 x 65	18.375	7.625	0.75	0.4375	0.6
W 18 x 71	W 18 x 71	18.5	7.625	0.8125	0.5	0.6
W 18 x 76	W 18 x 76	18.25	11	0.6875	0.4375	0.6
W 18 x 86	W 18 x 86	18.375	11.125	0.75	0.5	0.6
W 18 x 97	W 18 x 97	18.625	11.125	0.875	0.5625	0.6
W 18 x 106	W 18 x 106	18.75	11.25	0.9375	0.5625	0.6
W 18 x 119	W 18 x 119	19	11.25	1.0625	0.625	0.6
W 18 x 130	W 18 x 130	19.25	11.125	1.1875	0.6875	0.6
W 18 x 143	W 18 x 143	19.5	11.25	1.3125	0.75	0.6
W 18 x 158	W 18 x 158	19.75	11.25	1.4375	0.8125	0.6
W 18 x 175	W 18 x 175	20	11.375	1.5625	0.875	0.6
W 18 x 192	W 18 x 192	20.375	11.5	1.75	1	0.6
W 18 x 211	W 18 x 211	20.625	11.5	1.9375	1.0625	0.6
W 18 x 234	W 18 x 234	21	11.625	2.125	1.1875	0.6
W 18 x 258	W 18 x 258	21.5	11.75	2.3125	1.25	0.6
W 18 x 283	W 18 x 283	21.875	11.875	2.5	1.375	0.6
W 18 x 311	W 18 x 311	22.375	12	2.75	1.5	0.6
W 21 x 44	W 21 x 44	20.625	6.5	0.4375	0.375	0.65
W 21 x 50	W 21 x 50	20.875	6.5	0.5625	0.375	0.65
W 21 x 57	W 21 x 57	21	6.5	0.625	0.375	0.65
W 21 x 62	W 21 x 62	21	8.25	0.625	0.375	0.65
W 21 x 68	W 21 x 68	21.125	8.25	0.6875	0.4375	0.65
W 21 x 73	W 21 x 73	21.25	8.25	0.75	0.4375	0.65
W 21 x 83	W 21 x 83	21.375	8.375	0.8125	0.5	0.65
W 21 x 93	W 21 x 93	21.625	8.375	0.9375	0.5625	0.65
W 21 x 101	W 21 x 101	21.375	12.25	0.8125	0.5	0.65
W 21 x 111	W 21 x 111	21.5	12.375	0.875	0.5625	0.65
W 21 x 122	W 21 x 122	21.625	12.375	0.9375	0.625	0.65
W 21 x 132	W 21 x 132	21.875	12.5	1.0625	0.625	0.65
W 21 x 147	W 21 x 147	22	12.5	1.125	0.75	0.65
W 21 x 166	W 21 x 166	22.5	12.375	1.375	0.75	0.65
W 21 x 182	W 21 x 182	22.75	12.5	1.5	0.8125	0.65
W 21 x 201	W 21 x 201	23	12.625	1.625	0.9375	0.65
W 21 x 223	W 21 x 223	23.375	12.625	1.6875	1	0.65
W 21 x 248	W 21 x 248	23.75	12.75	2	1.125	0.65
W 21 x 275	W 21 x 275	24.125	12.875	2.1875	1.25	0.65
W 21 x 300	W 21 x 300	24.5	13	2.375	1.3125	0.65
W 21 x 333	W 21 x 333	25	13.125	2.625	1.4375	0.65
W 21 x 364	W 21 x 364	25.5	13.25	2.875	1.5625	0.65
W 21 x 402	W 21 x 402	26	13.375	3.125	1.75	0.65
W 24 x 55	W 24 x 55	23.625	7	0.5	0.375	0.7
W 24 x 62	W 24 x 62	23.75	7	0.5625	0.4375	0.7
W 24 x 68	W 24 x 68	23.75	9	0.5625	0.4375	0.7
W 24 x 76	W 24 x 76	23.875	9	0.6875	0.4375	0.7
W 24 x 84	W 24 x 84	24.125	9	0.75	0.5	0.7
W 24 x 94	W 24 x 94	24.25	9.125	0.875	0.5	0.7
W 24 x 103	W 24 x 103	24.5	9	1	0.5625	0.7
W 24 x 104	W 24 x 104	24	12.75	0.75	0.5	0.7
W 24 x 117	W 24 x 117	24.25	12.75	0.875	0.5625	0.7
W 24 x 131	W 24 x 131	24.5	12.875	0.9375	0.625	0.7
W 24 x 146	W 24 x 146	24.75	12.875	1.0625	0.625	0.7
W 24 x 162	W 24 x 162	25	13	1.25	0.6875	0.7
W 24 x 176	W 24 x 176	25.25	12.875	1.3125	0.75	0.7
W 24 x 192	W 24 x 192	25.5	13	1.4375	0.8125	0.7
W 24 x 207	W 24 x 207	25.75	13	1.5625	0.875	0.7
W 24 x 229	W 24 x 229	26	13.125	1.75	1	0.7
W 24 x 250	W 24 x 250	26.375	13.125	1.875	1.0625	0.7
W 24 x 279	W 24 x 279	26.75	13.25	2.0625	1.1875	0.7
W 24 x 306	W 24 x 306	27.125	13.375	2.25	1.25	0.7
W 24 x 335	W 24 x 335	27.5	13.5	2.5	1.375	0.7
W 24 x 370	W 24 x 370	28	13.625	2.75	1.5	0.7
W 24 x 408	W 24 x 408	28.5	13.75	3	1.625	0.7
W 24 x 450	W 24 x 450	29.125	14	3.25	1.8125	0.7
W 24 x 492	W 24 x 492	29.625	14.125	3.5625	2	0.7
W 27 x 84	W 27 x 84	26.75	10	0.625	0.4375	0.65
W 27 x 94	W 27 x 94	26.875	10	0.75	0.5	0.65
W 27 x 102	W 27 x 102	27.125	10	0.8125	0.5	0.65
W 27 x 114	W 27 x 114	27.25	10.125	0.9375	0.5625	0.65
W 27 x 129	W 27 x 129	27.625	10	1.125	0.625	0.65
W 27 x 146	W 27 x 146	27.375	14	1	0.625	0.65
W 27 x 161	W 27 x 161	27.625	14	1.0625	0.6875	0.65
W 27 x 178	W 27 x 178	27.75	14.125	1.1875	0.75	0.65
W 27 x 194	W 27 x 194	28.125	14	1.3125	0.75	0.65
W 27 x 217	W 27 x 217	28.375	14.125	1.5	0.8125	0.65
